Q,A,type
"무서워서 손이 떨릴 때, 어떻게 해야 하나요?","호흡을 깊게 쉬고, 자신에게 긍정적인 말을 반복해보세요.",augmented
앞에 서 있는 문제에 너무 떨려서 앞으로 나아가지 못하고 있어요.,"작은 걸음부터 시작하세요. 처음에는 두려움이 있지만, 계속 나아가면 점점 자신감이 생길 거예요.",augmented
게으른 동료가 있어,피해를 안 준다면 무시하세요.,original
동료가 너무 게을리해 일 처리가 안 되는데 어떻게 해야 할까요?,피해가 없다면 무시하는 것도 방법이죠.,augmented
게을리진 않지만 일에 관심이 없어서 따라가지 않는 동료가 있어. 대처법을 알려줘.,무시하거나 그 사람과는 별도로 일 처리하는 것이 좋습니다.,augmented
동료가 항상 일에 소홀해 지내는데 이에 대해 말해야 할까요?,"직장 내 분위기나 상황에 따라 다르지만, 피해가 없다면 무시하는 것도 고려해 보세요.",augmented
게임 같이 하자고 할까?,안 될 것도 없죠.,original
게임 같이 해볼까?,안 될 것 같진 않아요.,augmented
함께 게임할 수 있을까?,가능할 것 같아요.,augmented
게임 함께 하자고 했어?,그렇게 했어요.,augmented
게임 때문에 시간 다갔어,게임할때는 시간이 더 빨리 가요.,original
게임을 하니까 시간이 너무 빨리 지나가버렸어.,게임 중에는 시간이 빨리 지나가는 것 같죠.,augmented
게임하다 보니까 하루가 너무 빠르게 지나가잖아.,게임을 하다 보면 시간이 빨리 지나가는 느낌이 들 수 있어요.,augmented
게임만 하면 시간이 어디 갔는지 모르겠어.,게임에 집중하다 보면 시간이 빠르게 지나가는 것 같아요.,augmented
게임 때문에 폰이 점점 느려지는듯,정리해보세요.,original
게임을 하다 보니 핸드폰 속도가 점점 느려지는 느낌이 들어요. 어떻게 해야 할까요?,핸드폰 내부를 정리해 보세요. 불필요한 앱이나 데이터를 삭제하는 것이 도움이 될 수 있습니다.,augmented
게임을 하면 왜 폰이 점차 느려질까요? 해결 방법 좀 알려주세요.,"폰의 성능이 게임에 부합하지 않거나, 내부 저장공간이 부족할 수 있습니다. 정리 작업을 통해 개선해 보세요.",augmented
게임 중에 폰이 계속 멍하니 되는 거예요. 왜 그런 걸까요?,"이상적인 상태가 아닙니다. 폰을 정리하거나, 설정을 최적화하는 것이 좋습니다.",augmented
게임 재미있어.,게임하세요!,original
이 게임 재미있나요?,게임하세요!,augmented
이거 하면서 재미있는가요?,게임하세요!,augmented
이 게임은 어떻게 해요?,게임하세요!,augmented
게임 지겨워,다른 게임해보세요.,original
"이거 계속 하면 재미없어, 다른 걸 할까?",다른 게임을 시도해보는 건 어때요?,augmented
이런 게임이 너무 지겨워졌어,새로운 게임을 찾아보는 게 좋을 것 같아요.,augmented
지금 하고 있는 게 너무 반복적이야,다양한 게임을 체험해보는 것을 추천드려요.,augmented
게임도 이제 재미없어,다른 게임해보세요.,original
"이제 게임이 지루해졌어, 뭐 해볼까?",다른 게임을 시도해보는 건 어때?,augmented
이번에 나온 게임들 중에 재미있는 거 추천해줘,새로운 게임을 찾아보거나 인기 있는 게임을 체크해보는 게 좋을 것 같아,augmented
"게임이 재미없어서 지우려는데, 계속 해볼 만한 게임 추천해줘","다양한 장르의 게임을 경험해보거나, 기존 게임의 새로운 콘텐츠를 확인해보는 건 어때?",augmented
게임하고 싶어,게임하세요!,original
게임할 시간이 되었나요?,지금 바로 게임을 시작할 수 있습니다.,augmented
게임을 하고 싶은데 어떻게 해야 하나요?,원하는 게임을 선택하고 시작 버튼을 눌러주세요.,augmented
게임을 할 수 있는 방법을 알려주세요.,플랫폼에 맞는 게임을 설치한 후 로그인하여 플레이하세요.,augmented
게임하다 시간 다갔어,게임할때는 시간이 더 빨리 가요.,original
게임 중에 시간이 빠르게 느껴지나요?,"네, 게임을 할 때는 시간이 더 빠르게 지나가게 느껴질 수 있어요.",augmented
게임하다가 시간이 금방 지나간 적 있어요?,"네, 게임에 집중하면 시간이 금방 지나가는 경우가 많아요.",augmented
게임하면 시간이 빨리 지나가는 거 맞지?,"맞아요, 몰입감이 높은 게임을 할 때는 시간이 빨리 지나가는 느낌을 들 수 있어요.",augmented
겨울 지나 봄이야,마음에도 봄이 오길 바라요.,original
겨울이 지나가고 봄이 오는 기분이 들어요., 마음 한구석에 따뜻한 봄바람이 불어오길 바래요.,augmented
이제 봄이 되었나요?," 아직 완전한 봄이 아니긴 하지만, 마음속에 봄은 이미 도착했을까요?",augmented
기다리던 봄이 드디어 왔어., 그동안 기다림이 드디어 보상받는 것 같아요. 따뜻한 햇살과 함께 즐거운 하루 보내세요!,augmented
겨울에는 온천이지!,몸은 뜨겁고 머리는 차갑게!,original
겨울에 온천이 좋은 이유가 뭐야?,몸은 따뜻해지고 머리는 시원하게 유지되해서요.,augmented
겨울 온천이 체온 조절에 도움이 들었어?,"네, 온천에 들면 체온이 올랐다가 서서히 떨어지면서 균형을 맞춰줘요.",augmented
겨울에 온천이 머리 건강에 좋은가요?,머리가 차는 걸 방지하고 혈액 순환을 도와줘서 머리 건강에 도움이 됩니다.,augmented
겨울이 가고 봄이 올거야,마음에도 봄이 오길 바라요.,original
"겨울이 지나가면서, 마음에 봄이 올 수 있을까?","네, 시간이 지나면 마음에도 봄처럼 따뜻한 감정이 찾아올 수 있어요.",augmented
"이제 겨울이 끝나고 봄이 오는 시기인데요, 마음의 변화도 기대해볼 수 있나요?",물론이죠. 계절의 변화처럼 마음도 자연스럽게 새로운 감정으로 변할 수 있습니다.,augmented
"겨울이 지나면 봄이 오듯이, 사람 마음도 변화가 있을 거예요?","네, 마치 계절이 바뀀듯이 마음의 상태도 시간이 지나면서 달라질 수 있습니다.",augmented
격려 좀 해줘,잘하실 거예요!,original
도전하고 싶은데 마음이 떨려. 어떻게 해야 할까?,당신은 충분히 준비되어 있으니 두려움을 버리고 도전해 보세요!,augmented
이번 시험에서 잘 못할 것 같아. 어떻게 하면 좋을까?,당신은 충분히 준비되었으니 자신을 믿고 차분하게 마무리하세요!,augmented
새로운 일에 도전하려는데 떨려. 어떻게 하면 좋을까?,도전은 성장의 기회입니다. 두려움은 자연스러운 것이니 용기를 내어 도전해 보세요!,augmented
격려가 필요해.,잘하실 거예요!,original
다시 시작해야 할 것 같아. 어떻게 해야 할까요?,당신은 이미 준비되어 있어요. 믿어주세요!,augmented
이번 시험에서 잘 못할까 걱정돼요.,그런 걱정 마세요. 충분히 준비했으니까요!,augmented
나도 될까? 너무 떨려.,물론이죠! 그 떨음이 곧 자신감이 될 거예요.,augmented
견과류 챙겨 먹어야지.,건강 생각해서 챙겨드세요.,original
견과류는 왜 자주 먹는 게 좋은가요?,영양소가 풍부해서 건강에 도움이 됩니다.,augmented
매일 견과류를 먹는 습관을 들여야 할까요?,그러고 보면 좋아요. 꾸준히 먹으면 혜택이 많아요.,augmented
견과류 대신 다른 건강 음식도 괜찮을까요?,물론이지만 견과류는 특별히 좋은 성분들이 많아요.,augmented
결국 이런 운명이라니 슬프다,좋은 운명도 있을거예요.,original
이런 운명이 정해진 것 같아서 너무 마음이 힘들어.,좋은 운명도 분명히 있을 거예요. 지금은 힘들더라도 앞으로 기대해볼 수 있어요.,augmented
이럴 수밖에 없는 운명이라니 너무 슬퍼.,운명은 항상 나아질 수 있는 가능성을 안고 있어요. 지금의 슬픔도 언젠가 좋은 방향으로 이어질 거예요.,augmented
이런 상황이 영원히 계속된다면 어떻게 살아야 할지 모르겠어.,운명은 변화할 수 있는 힘을 가지고 있어요. 지금의 상황도 언젠가 바뀌고 새로운 기회가 올 거예요.,augmented
결정 못하겠어.,결정하기 힘드시겠네요.,original
어떤 걸 선택해야 할지 모르겠어.,어떤 걸 선택해야 할지 고민이 많겠네요.,augmented
어떤 걸 고를지 결정을 못하고 있어.,어떤 걸 고를지 결정이 어렵겠네요.,augmented
어떤 걸 해야 할지 모르겠어.,어떤 걸 해야 할지 고민이 많겠네요.,augmented
결정은 빠르면 빠를 수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,original
결정은 빨리 내려야 하는 게 좋을까?,자기 자신을 위해 최선의 결정을 내리길 바랍니다.,augmented
빠른 결정이 언제나 좋은가요?,"모든 상황에서 빠른 결정이 좋은 것은 아니지만, 자신에게 맞는 선택을 할 수 있도록 도와드리겠습니다.",augmented
결정을 빨리 해야 할까요?,"결정을 내리는 데에는 시간이 필요할 수 있으니, 자신의 속도에 따라 진지하게 생각해 보는 것이 좋습니다.",augmented
결정은 빠를수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,original
결정을 빠르게 내리는 게 나을 거예요?,자신에게 가장 적합한 선택을 하길 바랍니다.,augmented
조금 더 빨리 결정을 내릴 수 있나요?,스스로의 판단으로 결정해 주세요.,augmented
결정 자체가 빨라지는 게 좋은가요?,자신이 가장 잘 알 수 있는 방식으로 선택하시기를 바랍니다.,augmented
결정을 못 내리겠어. 어떻해,결정은 빠르면 빠를수록 좋을 거예요.,original
결정을 빨리 내리는 게 나을까?,빠르게 결정하는 것이 일반적으로 유리합니다.,augmented
이제 어떻게 해야 할지 정말 모르겠어,빠르게 결정하는 것이 좋습니다.,augmented
어떻게 하면 빠르게 결정할 수 있을까?,정보를 빠르게 처리하고 신속하게 판단하세요.,augmented
결정적인 물증이 없어,안타깝네요. 증거를 지금이라도 모아봐요.,original
결정적인 증거가 없으면 어떻게 해야 하나요?,그렇다면 가능한 한 빠르게 증거를 수집하는 것이 좋습니다.,augmented
중요한 물증이 없어서 힘들죠.,그렇다면 지금부터라도 증거를 모으는 것을 추천드립니다.,augmented
결정적인 증거가 없어서 어떻게办才好呢?,"그럴 경우, 지금이라도 증거를 수집하는 것이 가장 좋은 방법입니다.",augmented
결혼 했는데.,좋겠어요.,original
결혼했어.,좋겠어.,augmented
결혼했는데 어때요?,좋을 것 같아요.,augmented
결혼했는데 어떻게 생각해?,좋은 결정인 것 같아.,augmented
결혼 했어,좋겠어요.,original
결혼했어?,좋겠네요.,augmented
결혼했나요?,기쁘겠어요.,augmented
결혼했단 말이야?,축하해!,augmented
결혼도 다 돈이다.,많이 들지만 줄일 수 있을 거예요.,original
"결혼 준비 중인데, 비용이 많이 들겠죠? 어떻게 절약할 수 있어요?","비용은 많이 들 수 있지만, 여러 방법으로 줄일 수 있어요. 예를 들어, 예식장 선택이나宾客数 조절, 또는 직접 준비하는 아이템을 늘리면 도움이 될 수 있어요.",augmented
결婚이 왜 돈이 많이 드는데요?,"결혼 시 다양한 비용이 발생하죠. 예를 들어, 예식장 대관료, 음식, 초대장, 사진 촬영 등 다양한 항목에서 비용이 발생합니다. 하지만 계획을 잘 세우면 불필요한 지출을 줄일 수 있어요.",augmented
결혼비용을 줄이려면 어떻게 해야 하나요?,"결혼비용을 줄이기 위해선, 간단한 예식 전개,宾客 수를 줄이거나, 직접 준비하는 아이템을 늘리는 방법이 있어요. 또한, 시즌이 아닌 시기에 예식장을 예약하거나, 할인 이벤트를 활용하면 더 많은 절약이 가능해요.",augmented
결혼식 가기 귀찮아,경조사는 참석하는게 좋아요.,original
결혼식에 가지 않으면 경조세를 낸다고 해도 괜찮을까요?,"경조세를 낸다면 참석하지 않아도 괜찮을 수 있지만, 관계 유지에는 도움이 되지 않을 수 있어요.",augmented
결혼식 참석이 정말 중요한가요?,가까운 사람의 결혼식이라면 참석하는 것이 관계를 유지하는 데 도움이 될 수 있어요.,augmented
결혼식에 가지 않아도 경조세를 꼭 내야 하나요?,"경조세는 선택이지만, 관계를 고려해 내는 것이 일반적이에요.",augmented
결혼식 또 가야돼,경조사는 참석하는게 좋아요.,original
결혼식 또 가야 하나요?,경조사는 꼭 참석하는 것이 좋아요.,augmented
다시 결혼식에 가야 할까요?,경조赛는 참석하는 것이 예의가 된답니다.,augmented
또 결혼식이라서 가야 할까요?,경조는 꼭 가는 게 좋아요.,augmented
결혼식때 하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다.,original
결혼式에 하객이 없을까 걱정돼요. 어떻게 해야 하나요?,그렇게 심하게 걱정하지 않아도 됩니다. 중요한 건 하객이 아니라 두 사람이 함께하는 날이라는 점을 기억하세요.,augmented
결혼式에 아무도 안 와줄까봐 떨려요. 어떻게 대처해야 할까요?,실제로 많은 분들이 그런 걱정을 하시는데요. 중요한 건 하객 수보다 두 사람이 함께하는 날을 즐기는 것이라는 점을 잊지 마세요.,augmented
하객이 적을까봐 결혼式에 자신이 없어요. 어떻게 하면 좋을까요?,하객 수보다는 그날의 의미에 집중하는 것이 더 중요하답니다. 두 사람이 함께하는 날을 즐기시길 바랍니다.,augmented
결혼식이 너무 많아,인맥이 넓으신가봐요.,original
"이번 주말에도 결혼식이라니, 또 가야 하나요?",인맥이 넓으시나 봐요.,augmented
결혼식이 너무 많아서 피곤해요. 어떻게 해야 할까요?,인맥이 넓으신 것 같아요.,augmented
계속 결혼식만 다니니 힘들어요. 도움이 필요해요.,인맥이 넓으신 것 같네요.,augmented
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.,original
왜 결혼얘기를 하면마다 화를 내는 거예요?,이 상황이 정말 힘들 수 있어요.,augmented
자신이 왜 나한테 계속 화를 내는 거지?,상대방의 감정이 복잡할 수 있다는 걸 생각해봐요.,augmented
결혼 관련 말만 들으면 왜 분노를 표현하는 거예요?,그 사람에게 이 주제가 민감할 수 있다는 점을 고려해보세요.,augmented
결혼준비 돈 많이 들겠지,많이 들지만 줄일 수 있을 거예요.,original
결혼 준비 비용이 많이 드는 편이죠?,드릴 수 있지만 잘 관리하면 줄일 수 있어요.,augmented
결혼할 때 돈을 많이 쓰게 되나요?,"보통 많이 드는데, 계획을 잘 세우면 부담을 줄일 수 있어요.",augmented
결혼 준비로 돈이 많이 나가겠어?,"네, 그렇지만 예산을 정해두면 효율적으로 쓸 수 있어요.",augmented
결혼준비하는데 돈 얼마나 드나,욕심에 따라 천지 차이일 거예요.,original
결혼 준비 중인데 예산 어느 정도 나와야 하나요?,개인의 여건에 따라 천차만별일 수 있습니다.,augmented
결혼할 때 비용이 어느 정도 될까요?,원하는 스타일과 조건에 따라 다릅니다.,augmented
결혼 준비로 돈을 어느 정도 준비해야 할까요?,개인별로 예산이 상이할 수 있어요.,augmented
결혼하는데 돈 많이 드네,허례허식이에요.,original
"결혼식 장소 대관비만으로도 만 원이 넘는데, 진짜로 필요한 건가요?",그건 다들 하는 허례예요. 꼭 필요한 건 아니에요.,augmented
결혼을 하려면 꼭 필요한 비용 말고도很多 추가 비용이 드는 거 같아요. 왜 그런가요?,그건 사회적인 예의로 인한 허식입니다. 꼭 필요한 건 아니지만 대부분 지켜지는 규범이죠.,augmented
"결혼 관련 준비비가 너무 많아서 부담이인데, 꼭 지켜야 할 것들만 알려주세요.",그런 부담스러운 것들은 대부분 허례와 허식이죠. 기본적인 예절만 지키면 충분해요.,augmented
결혼하는데 돈 얼마나 들까,욕심에 따라 천지 차이일 거예요.,original
결혼할 때 비용이 어느 정도 될까요?,개인의 기호와 상황에 따라 차이가 정말 큽니다.,augmented
결혼 준비 시 필요한 돈이 적게는 얼마나 들까요?,기본적인 행사만으로도 수백만 원 이상은 예상해야 해요.,augmented
결혼비용이 너무 걱정돼요. 대략적으로 얼마나 필요한가요?,최소한 수백만 원에서 수억 원까지 다양할 수 있습니다.,augmented
결혼하면 좋아?,해봐요.,original
결혼해도 될까?,해보고 말세,augmented
결혼하는 게 나을까?,경험해보는 게 어때,augmented
결혼했어?,그랬어,augmented
결혼하면 좋을까,서로 노력하면 행복할 거예요.,original
결혼을 해야 할까 고민 중이야. 어땠어?,서로 노력해서 함께 행복해질 수 있다고 생각해,augmented
결혼이 나에게 맞는지 모르겠어. 어떻게 생각해?,상대방과의 노력과 이해가 중요하니까 그걸 잘 해보는 게 좋을 것 같아,augmented
결혼을 해야 하는지 말인지를 결정할 수가 없는데 도와줄 수 있어?,서로의 노력과 사랑이 있으면 좋은 결혼이 될 수 있다고 믿어,augmented
결혼하면 행복할까?,서로 노력하면 행복할 거예요.,original
결혼했을 때 행복할 수 있을까요?,서로 노력하다 보면 행복할 수 있어요.,augmented
결혼이 꼭 행복한 것일까요?,"모든 게 다 노력에 달려서 그렇지, 기본적으로는 행복할 수 있는 기회예요.",augmented
결혼하면 꼭 행복해질까?,"사람마다 다르겠지만, 서로 존중하고 소통한다면 행복할 수 있어요.",augmented
결혼하면 행복해?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,original
결혼했을 때 행복할까요?,"사람마다 다르지만, 일반적으로 결혼이 행복감을 높여줄 수 있어요.",augmented
결혼이 꼭 행복한 것인가요?,"결혼이 항상 행복한 것은 아니지만, 대부분의 경우 만족스럽게 만드는 요소가 많습니다.",augmented
결혼하면 정말 행복해지나요?,"개인의 상황에 따라 다르지만, 대체적으로 결혼이 행복감을 증진시킬 수 있습니다.",augmented
결혼하면 행복해질까?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,original
결혼이 행복을 가져다주나요?,"사람마다 다르지만, 일반적으로 행복감이 높아질 수 있어요.",augmented
결혼했을 때 행복할 수 있을까?,"개인의 상황에 따라 다르지만, 대체로 행복할 가능성이 있어요.",augmented
결혼하면 꼭 행복해지나요?,"반드시 그런 것은 아니지만, 대부분의 사람들이 행복함을 느낄 수 있어요.",augmented
결혼할까,능력이 있으면 하면 되죠.,original
결혼할 생각이 있어요?,능력이 있으면 하는 게 좋겠네요.,augmented
결혼할 거예요?,그게 다가 아니겠죠. 상황에 따라 달라지겠어요.,augmented
결혼해야 할까요?,자신이 준비가 된다면 하는 게 좋을 것 같아요.,augmented
결혼해도 되나,능력이 있으면 하면 되죠.,original
결혼해도 괜찮을까요?,능력이 있으면 문제가 없죠.,augmented
결혼하는 게 될까?,그분이 능력이 있으면 괜찮아요.,augmented
결혼이 가능할까?,능력이 있으면 성사될 수 있죠.,augmented
결혼해도 될까,이사람이다 싶은 사람이랑 하세요.,original
결혼해야 할 때를 어떻게 알 수 있나요?,"진정으로 함께하고 싶은 사람이란 느낌이 들 때, 서로의 장단점을 받아들이고 살아가고 싶은 마음이 생겼을 때죠.",augmented
결혼에 대해 고민 중인데 어떻게 해야 하나요?,"서로의 가치관과 목표가 부합하는지, 그리고 오랜 시간 함께할 수 있는 여지를 잘 생각해보세요.",augmented
결혼이 맞는 선택일까 걱정돼요.,"서로 소중히 여기는 것들이 잘 맞고, 서로를 이해하고 배려할 수 있다면 좋은 선택이 될 수 있습니다.",augmented
결혼해야 하나,해봐요.,original
결혼해야 할까요?,해보는 게 어떨까요?,augmented
결혼을 해야 하는 거 맞을까요?,시도해보는 것도 나쁘지 않아요.,augmented
결혼을 해야 할지 고민 중이에요.,그렇다면 시도해보는 건 어때요?,augmented
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,original
"경쟁이 너무 심하다고 느낄 때, 어떻게 대처해야 할까요?","경쟁이 심하다면 자신의 강점을 강화하고, 차별화된 전략을 세우는 것이 중요해요.",augmented
경쟁이 치열해질수록 어떻게 대응해야 하나요?,경쟁이 치열해질수록 효율적인 시간 관리와 지속적인 학습을 통해競爭力 강화하는 것이 좋아요.,augmented
"경쟁이 너무 치열하다고 느낄 때, 어떤 마음가짐이 필요할까요?",경쟁이 치열할 때는 자기 관리와 긍정적인 마인드세트가 중요하답니다.,augmented
계속 공부해도 될까,확신이 없나봐요.,original
계속 공부를 해야 할지 고민 중이야.,아직 확신이 없구나.,augmented
이대로 계속 가도 될까 싶어,마음이 놓이지 않나 봐요.,augmented
더 이상 공부를 해야 하는지 모르겠어,결정을 내리기 힘든가 봐요.,augmented
계속 도전하는 거 귀찮아,안정적인 걸 좋아하나봐요.,original
"계속 도전하려니 피곤하잖아, 그냥 여기에 멈춰버릴까?",그렇게 되면 성장할 수 없겠지. 하지만 나자신이 원하는 방향이 중요하겠구나.,augmented
왜 이렇게 계속 시도하려는 거야? 그냥 그만 두는 게 낫지 않을까?,도전은 어때? 실패해도 배울 수 있는 기회니까. 하지만 자신의 한계를 알고 그만두는 것도 방법이겠지.,augmented
계속 도전하려면 스트레스 받지 않을까? 그냥 편안하게 살면 안 될까?,"도전은 성장으로 이어질 수 있지만, 자신의 속도에 맞게 하는 것이 중요하겠구나.",augmented
계속 방학이면 좋을텐데,방학은 참 짧아요.,original
방학이 좀 더 길면 좋겠어요.,그럴 만하죠. 방학은 짧게 느껴지기도 해요.,augmented
방학이 이렇게 빨리 끝나버리니 아쉽지 않아요?,"네, 진짜 빨라서 아쉬운 마음이 크죠.",augmented
왜 방학이 이렇게 짧을까요?,그건 모르겠네요. 하지만 대부분 그렇게 느낄 거예요.,augmented
계속 보고 싶어,보러 가세요.,original
이제 더 이상 보고 싶지 않아요. 어떻게 해야 하나요?,그냥 그걸 그만 보는 것이 좋아요.,augmented
이거 계속 볼 수 있는 방법이 없을까요?,"그냥 계속 보시면 됩니다. 다만, 너무 오래 보지 마세요.",augmented
이게 정말 계속 보고 싶을 만한 건가요?,그건 제가 판단할 수 없는 일입니다. 본인 판단으로 결정하시길 바랍니다.,augmented
계속 보고 싶으면 어떡해?,보러 가세요.,original
계속 보고 싶을 때는 어떻게 해야 하나요?,그럼 직접 보러 가야겠네요.,augmented
"이제 더 이상 볼 수 없을 것 같은데, 어떻게 해야 할까요?",그럼 현장에서 직접 관람하세요.,augmented
이제 끝난 것 같아요. 계속 보고 싶은데 어떻게 해야 하나요?,그렇다면 직접 가서 보는 방법뿐이에요.,augmented
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,original
계속 복통이 심하면 어떻게 해야 하나요?,복통이 계속 심하다면 병원에서 진료를 받는 것이 좋습니다.,augmented
배가 안 좋은 게 계속 몇 날째인데 문제일까요?,배가 안 좋은 게 며칠째 계속된다면 건강 문제일 수 있으니 병원에 가서 확인하는 것이 좋습니다.,augmented
"속이 안 좋아서 고민인데, 병원 가는 게 낫나요?",속이 계속 안 좋다면 병원에서 진단을 받는 것이 가장 좋은 방법입니다.,augmented
계속 엇갈리는 느낌,타이밍이 안 맞았나봐요.,original
계속 엇갈린 느낌이 들어요. 왜 그런 거예요?,서로의 타이밍이 맞지 않았던 것 같아요.,augmented
이렇게 엇갈려서 속이 답답하네요.,시간 차이나 감정의 불일치 때문일 수 있어요.,augmented
왜 계속 엇갈리는 감정이 생길까요?,상호작용에서 공감이나 이해 부족 때문일 수 있어요.,augmented
계속 학생하고 싶어,이제 취업 하셔야죠.,original
계속해서 공부를 하고 싶은데 어떻게 해야 하나요?,이제는 본인의 진로를 고려하여 취업에 준비하는 것이 좋습니다.,augmented
학생으로서의 삶을 더 오래 살고 싶어요. 방법이 있나요?,"장기적인 계획을 세우고, 취업을 준비하는 동시에 학업을 병행할 수 있는 방법을 찾아보세요.",augmented
"계속해서 학문적으로 성장하고 싶은데, 지금이 취업할 때인가요?","현재 자신의 역량과 목표를 평가하여, 취업과 학업의 균형을 맞추는 것이 중요합니다.",augmented
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.,original
왜 계속 한숨을 쉬게 되는 걸까?,뇌에 에너지가 부족할 때 몸이 자연스럽게 에너지를 공급하려는 반응 때문이에요.,augmented
한숨이 계속 나올 때는 뭘 해야 하나요?,간단한 스트레칭이나 잠시 휴식을 취해 에너지를 회복하는 것이 좋아요.,augmented
한숨은 왜 자주 날까?,체력이 저하되거나 스트레스가 쌓일 때 뇌가 에너지 보충을 요청하는 방식으로 나타날 수 있어요.,augmented
고3은 공부만 해야겠지.,공부가 최우선이죠.,original
고3이라면 공부 외에 할 수 있는 건 없을 것 같아.,가장 중요한 건 공부니까 다른 것보다 공부에 집중해야 해요.,augmented
고3이면 하루 종일 공부만 해야 하는 거 맞지?,"학교와 집에서 공부에 집중하는 것이 중요하지만, 건강을 위해 적절한 휴식도 필요해요.",augmented
고3이라서 공부 외에 취미는 전혀 못 다니는 거야?,"공부가 우선이지만, 스트레스 해소와 건강을 위해 적절한 취미 활동도 도움이 될 수 있어요.",augmented
고3이니까 공부해야겠지,공부가 최우선이죠.,original
고3이라서 공부 외에는 생각나지 않아?,그렇죠. 입시가 관건이기 때문에 공부에 집중하는 게 가장 중요하답니다.,augmented
이제 고3이라서 매일 몇 시간 공부해야 하나요?,매일 일정 시간을 투자하는 게 좋아요. 하지만 효율적인 학습이 더 중요하겠죠.,augmented
고3이 되니까 공부 외에 다른 활동은 전부 중단해야 할까요?,"완전히 중단할 필요는 없지만, 공부에 방해가 되지 않도록 조절하는 게 좋습니다.",augmented
고구마 다이어트 해야지,너무 무리하지는 마세요.,original
고구마로 다이어트 하려면 어떻게 해야 하나요?,과도한 제한보다는 균형 있는 식단을 유지하는 것이 중요해요. 고구마는 영양이 풍부하지만 칼로리가 높기 때문에 적당히 섭취하는 것이 좋아요.,augmented
고구마 다이어트 하기 좋은가요?,"고구마는 식이섬유가 많아 포만감을 주지만, 다이어트에는 단순히 고구마만 먹는 것보다 다양한 영양소를 포함한 식단이 더 효과적입니다.",augmented
고구마만 먹고 다이어트 하면 안 되는 이유가 뭐예요?,고구마만 먹으면 단백질이나 비타민 같은 다른 영양소가 부족해 건강에 악영향을 줄 수 있어요. 다이어트도 균형 잡힌 식단이 가장 중요하답니다.,augmented
고구마만 먹고 다이어트 해야지,너무 무리하지는 마세요.,original
고구마만으로 다이어트를 해야 할까요?,그렇게 무리하게 하지 않아도 됩니다.,augmented
다이어트할 때 고구마만 먹는 게 좋을까요?,완전히 단일 음식만 먹는 건 부담일 수 있습니다.,augmented
고구마만 먹고 다이어트를 하면 효과가 있을까?,다양한 영양을 고려하는 것이 더 건강에 좋습니다.,augmented
고기 구워 먹고 싶다.,저기압에는 고기앞이죠.,original
"고기를 먹고 싶은데, 어떤 날에 먹는 게 좋을까?",저기압일 때가 최고예요.,augmented
"오늘 날씨가 저기압인데, 뭐 먹을까?",고기를 구워먹는 건 어때요?,augmented
고기를 먹는 날이 언제인지 궁금해.,기분이 저기압인 날이 딱이죠.,augmented
고기 먹고 싶어,저기압에는 고기앞이죠.,original
"고기를 먹고 싶은데, 어떤 고기를 추천해?",저기압에는 고기앞이죠. 그래서 기분 좋은 날에 먹는 고기는 더욱 특별하답니다.,augmented
"오늘 저기압이라 들었어, 그래서 뭐 먹을까?",저기압이니까 고기를 먹는 게 좋아요. 기분도 좋고 맛도 좋죠!,augmented
"기분이 좀 저조한데, 뭐 먹으면 좋을까?",기분이 저조할 땐 고기를 먹는 게 좋아요. 기분도 살아나고 맛도 좋아요!,augmented
고데기 망했어,연습이 필요해요.,original
고데팅이 잘 안 돼서 속상하죠? 어떻게 고칠 수 있을까요?,더 많이 연습해보는 게 좋아요.,augmented
고데기 망쳤는데 어떻게 해야 해요?,앞으로 더 주의 깊게 해보세요.,augmented
"고데기 실패했어, 다음에 꼭 성공하고 싶어요.",계속 연습하다 보면 잘하게 되겠어요.,augmented
고데기 했는데 망했어,연습이 필요해요.,original
"고데팅이 완전 실패했어, 어떻게 해야 해?",더 많은 연습이 필요해요.,augmented
"고데기 하다가 실패했는데, 다음에 어떻게 해야 하나요?",꾸준한 연습으로 실력을 쌓는 것이 좋아요.,augmented
"고데팅이 망쳤어, 다음에 어떻게 해야 할까?","일단 실수에서 배우고, 더 많이 연습해보는 게 좋아요.",augmented
고독한 밤,혼자가 아니에요.,original
혼자 있는 밤이 외로워요,당신은 혼자가 아니에요,augmented
밤이 깊지만 마음은 외로워요,그 마음을 혼자 견뎌야 할 필요는 없어요,augmented
一人で 보내는 밤이 힘들 때요,그 힘든 순간도 곧 지나갈 거에요,augmented
고마운 사람들이 많아,인복이 많나봐요.,original
왜 주변에 고마운 사람이 많을까,인복이 좋은 거예요,augmented
이렇게 많은 사람이 고마워할 때는 무슨 이유가 있을까,당신이 인기를 끌리는 성격이라서일지도 모릅니다,augmented
